ODB file name: strainRratio--0.5
Step Time,U_Y,Total RF Y,Bottom RF Node Count,Upper U Node Count
0.0,0.0,0.0,318,321
0.00999999977648258,0.004817625507712364,337.2337884902954,318,321
0.0199999995529652,0.006908386014401913,480.4352532029152,318,321
0.0299999993294477,0.008567623794078827,567.3757913708687,318,321
0.0399999991059303,0.009632921777665615,608.1693960428238,318,321
0.0500000007450581,0.009999999776482582,615.0558575987816,318,321
0.0599999986588955,0.009632927365601063,589.3607861995697,318,321
0.0700000002980232,0.008567635901272297,514.7903509140015,318,321
0.0799999982118607,0.0069084023125469685,398.6440164744854,318,321
0.0900000035762787,0.004817644599825144,252.2909704297781,318,321
0.100000001490116,0.0025000199675559998,90.05724978726357,318,321
0.109999999403954,0.00018239335622638464,-72.17656386271119,318,321
0.119999997317791,-0.0019083700608462095,-218.52608905732632,318,321
0.129999995231628,-0.003567612264305353,-330.66357028484344,318,321
0.140000000596046,-0.004632915370166302,-388.8367198109627,318,321
0.150000005960464,-0.004999999888241291,-408.7234925031662,318,321
0.159999996423721,-0.004632933530956507,-383.028853058815,318,321
0.170000001788139,-0.003567647421732545,-308.458806425333,318,321
0.180000007152557,-0.0019084183732047677,-192.31277909874916,318,321
0.189999997615814,0.00018233657465316355,-45.959932126803324,318,321
0.200000002980232,0.0024999601300805807,116.27372097223997,318,321
0.209999993443489,0.004817587789148092,278.5076474249363,318,321
0.219999998807907,0.0069083538837730885,424.8612850308418,318,321
0.230000004172325,0.008567600511014462,538.3595803976059,318,321
0.239999994635582,0.00963290873914957,594.9235609769821,318,321
0.25,0.009999999776482582,612.4614952802658,318,321
0.259999990463257,0.009632939472794533,586.7674289941788,318,321
0.270000010728836,0.008567659184336662,512.1977713108063,318,321
0.280000001192093,0.006908434443175793,396.0520507991314,318,321
0.28999999165535,0.004817682318389416,249.69940227270126,318,321
0.300000011920929,0.0025000597815960646,87.4658176349476,318,321
0.310000002384186,0.00018243122030980885,-74.76817636052147,318,321
0.319999992847443,-0.0019083378138020635,-221.12169343978167,318,321
0.330000013113022,-0.003567588748410344,-334.03438663482666,318,321
0.340000003576279,-0.004632902797311544,-391.8658408522606,318,321
0.349999994039536,-0.004999999888241291,-411.64886325597763,318,321
0.360000014305115,-0.004632946103811264,-385.9550840854645,318,321
0.370000004768372,-0.0035676707047969103,-311.3858149945736,318,321
0.379999995231628,-0.0019084506202489138,-195.240403175354,318,321
0.389999985694885,0.00018229872512165457,-48.88795241387561,318,321
0.400000005960464,0.002499920316040516,113.34556438308209,318,321
0.409999996423721,0.00481755007058382,275.5796268284321,318,321
0.419999986886978,0.006908321753144264,421.9336596727371,318,321
0.430000007152557,0.008567577227950096,535.6338856816292,318,321
0.439999997615814,0.0096328966319561,592.4128577113152,318,321
0.449999988079071,0.009999999776482582,610.5775463581085,318,321
0.46000000834465,0.009632952511310577,584.884195804596,318,321
0.469999998807907,0.008567682467401028,510.31531459093094,318,321
0.479999989271164,0.006908466573804617,394.1702111661434,318,321
0.490000009536743,0.004817720036953688,247.81795725226402,318,321
0.5,0.0025000995956361294,85.58450923021883,318,321
0.509999990463257,0.00018246906984131783,-76.6496212775819,318,321
0.519999980926514,-0.0019083056831732392,-223.003852725029,318,321
0.529999971389771,-0.0035675654653459787,-336.2448941767216,318,321
0.540000021457672,-0.004632890690118074,-393.9004084467888,318,321
0.550000011920929,-0.004999999888241291,-413.6256151795387,318,321
0.560000002384186,-0.004632958211004734,-387.9326990842819,318,321
0.569999992847443,-0.0035676942206919193,-313.3642055094242,318,321
0.579999983310699,-0.001908482750877738,-197.21941050887108,318,321
0.589999973773956,0.00018226086103823036,-50.867355073511135,318,321
0.600000023841858,0.002499880502000451,111.36602511256933,318,321
0.610000014305115,0.004817511886358261,273.6002237200737,318,321
0.620000004768372,0.00690828962251544,419.9546535015106,318,321
0.629999995231628,0.00856755394488573,533.726441681385,318,321
0.639999985694885,0.00963288452476263,590.6324936151505,318,321
0.649999976158142,0.009999999776482582,609.1678778529167,318,321
0.660000026226044,0.009632964618504047,583.4753791093826,318,321
0.670000016689301,0.008567705750465393,508.9072742462158,318,321
0.680000007152557,0.006908498704433441,392.76278764009476,318,321
0.689999997615814,0.004817758221179247,246.41093009710312,318,321
0.699999988079071,0.002500139409676194,84.17761831264943,318,321
0.709999978542328,0.00018250693392474204,-78.0566486432217,318,321
0.720000028610229,-0.0019082734361290932,-224.41127618402243,318,321
0.730000019073486,-0.0035675419494509697,-337.8301659822464,318,321
0.740000009536743,-0.004632878582924604,-395.3778954744339,318,321
0.75,-0.004999999888241291,-415.0679891705513,318,321
0.759999990463257,-0.004632970783859491,-389.3759313225746,318,321
0.769999980926514,-0.0035677175037562847,-314.8082155585289,318,321
0.779999971389771,-0.001908514997921884,-198.66403624415398,318,321
0.790000021457672,0.00018222301150672138,-52.3123774130363,318,321
0.800000011920929,0.0024998406879603863,109.92086672224104,318,321
0.810000002384186,0.004817474167793989,272.15520137548447,318,321
0.819999992847443,0.006908257491886616,418.5100274682045,318,321
0.829999983310699,0.008567530661821365,532.3115338683128,318,321
0.839999973773956,0.00963287241756916,589.3008927702904,318,321
0.850000023841858,0.009999999776482582,608.0786020159721,318,321
0.860000014305115,0.009632976725697517,582.3867717981339,318,321
0.870000004768372,0.008567729033529758,507.81944555044174,318,321
0.879999995231628,0.006908531300723553,391.6755750775337,318,321
0.889999985694885,0.004817795939743519,245.3241133093834,318,321
0.899999976158142,0.002500179223716259,83.09093772061169,318,321
0.910000026226044,0.00018254478345625103,-79.1434656586498,318,321
0.920000016689301,-0.001908241305500269,-225.49848916381598,318,321
0.930000007152557,-0.0035675186663866043,-339.0253342986107,318,321
0.939999997615814,-0.004632866010069847,-396.50167202949524,318,321
0.949999988079071,-0.004999999888241291,-416.1689148545265,318,321
0.959999978542328,-0.004632982891052961,-390.47771817445755,318,321
0.970000028610229,-0.0035677410196512938,-315.9107789993286,318,321
0.980000019073486,-0.0019085471285507083,-199.76721638441086,318,321
0.990000009536743,0.0001821851619752124,-53.415953023548354,318,321
1.0,0.0024998008739203215,108.817154340446,318,321
