ODB file name: strainRratio-1
Step Time,U_Y,Total RF Y,Bottom RF Node Count,Upper U Node Count
0.0,0.0,0.0,318,321
0.00999999977648258,0.0030901674181222916,216.3117209970951,318,321
0.0199999995529652,0.005877848248928785,411.0966566205025,318,321
0.0299999993294477,0.008090165443718433,503.58493238687515,318,321
0.0399999991059303,0.00951056182384491,535.3812891244888,318,321
0.0500000007450581,0.009999999776482582,540.8183695673943,318,321
0.0599999986588955,0.009510570205748081,506.55827087163925,318,321
0.0700000002980232,0.008090181276202202,407.13102608919144,318,321
0.0799999982118607,0.0058778696693480015,252.26924357563257,318,321
0.0900000035762787,0.003090192563831806,57.132000310579315,318,321
0.100000001490116,2.6535898811630432e-08,-159.16680155240465,318,321
0.109999999403954,-0.003090142272412777,-348.78755047917366,318,321
0.119999997317791,-0.005877826828509569,-458.4806458353996,318,321
0.129999995231628,-0.008090149611234665,-518.4499139785767,318,321
0.140000000596046,-0.009510553441941738,-537.8465468287468,318,321
0.150000005960464,-0.009999999776482582,-542.3320375084877,318,321
0.159999996423721,-0.009510578587651253,-508.07251608371735,318,321
0.170000001788139,-0.008090196177363396,-408.6457898616791,318,321
0.180000007152557,-0.005877891089767218,-253.78441773355007,318,321
0.189999997615814,-0.0030902179423719645,-58.647708844277076,318,321
0.200000002980232,-5.3071797623260863e-08,157.63449726300314,318,321
0.209999993443489,0.0030901168938726187,346.36634081602097,318,321
0.219999998807907,0.005877805408090353,456.6910774111748,318,321
0.230000004172325,0.008090133778750896,517.3799569606781,318,321
0.239999994635582,0.009510545060038567,537.1491168141365,318,321
0.25,0.009999999776482582,541.748835682869,318,321
0.259999990463257,0.00951058603823185,507.4898998141289,318,321
0.270000010728836,0.008090212009847164,408.0636891722679,318,321
0.280000001192093,0.005877912510186434,253.20272959768772,318,321
0.28999999165535,0.003090243088081479,58.06626286963001,318,321
0.300000011920929,7.960769465853446e-08,-158.21882497239858,318,321
0.310000002384186,-0.003090091748163104,-347.1609861254692,318,321
0.319999992847443,-0.005877783987671137,-457.35761535167694,318,321
0.330000013113022,-0.008090118877589703,-517.8507384061813,318,321
0.340000003576279,-0.00951053760945797,-537.510972738266,318,321
0.349999994039536,-0.009999999776482582,-542.079164326191,318,321
0.360000014305115,-0.009510594420135021,-507.82078421115875,318,321
0.370000004768372,-0.008090227842330933,-408.3950908780098,318,321
0.379999995231628,-0.00587793393060565,-253.53454366326332,318,321
0.389999985694885,-0.0030902684666216373,-58.3983365414897,318,321
0.400000005960464,-1.0614359524652173e-07,157.88581553241238,318,321
0.409999996423721,0.003090066369622946,346.75035440921783,318,321
0.419999986886978,0.005877762567251921,456.99265027046204,318,321
0.430000007152557,0.008090103045105934,517.5771533846855,318,321
0.439999997615814,0.009510529227554798,537.2855888009071,318,321
0.449999988079071,0.009999999776482582,541.8673405647278,318,321
0.46000000834465,0.009510602802038193,507.60955053567886,318,321
0.469999998807907,0.008090243674814701,408.18437457084656,318,321
0.479999989271164,0.005877955351024866,253.32423789054155,318,321
0.490000009536743,0.003090293612331152,58.188298425404355,318,321
0.5,1.3267948872908164e-07,-158.09619974531233,318,321
0.509999990463257,-0.003090041223913431,-347.00099524855614,318,321
0.519999980926514,-0.005877740681171417,-457.2233561873436,318,321
0.529999971389771,-0.008090087212622166,-517.7565277814865,318,321
0.540000021457672,-0.009510520845651627,-537.4392547607422,318,321
0.550000011920929,-0.009999999776482582,-542.0146642923355,318,321
0.560000002384186,-0.009510611183941364,-507.75743639469147,318,321
0.569999992847443,-0.008090258575975895,-408.33278065919876,318,321
0.579999983310699,-0.00587797723710537,-253.47305373102427,318,321
0.589999973773956,-0.0030903187580406666,-58.33737712423317,318,321
0.600000023841858,-1.592153893170689e-07,157.9467754289508,318,321
0.610000014305115,0.0030900160782039165,346.8292061984539,318,321
0.620000004768372,0.005877719260752201,457.06281435489655,318,321
0.629999995231628,0.008090071380138397,517.6298006176949,318,321
0.639999985694885,0.009510512463748455,537.3285345435143,318,321
0.649999976158142,0.009999999776482582,541.9075800776482,318,321
0.660000026226044,0.009510619565844536,507.6509304046631,318,321
0.670000016689301,0.008090274408459663,408.22679018974304,318,321
0.680000007152557,0.005877998657524586,253.36747501045465,318,321
0.689999997615814,0.003090344136580825,58.23206254048273,318,321
0.699999988079071,1.8575128990505618e-07,-158.05216740164906,318,321
0.709999978542328,-0.0030899906996637583,-346.9498884677887,318,321
0.720000028610229,-0.005877697840332985,-457.1779207587242,318,321
0.730000019073486,-0.008090056478977203,-517.722265958786,318,321
0.740000009536743,-0.009510504081845284,-537.4109867811203,318,321
0.75,-0.009999999776482582,-541.9883980751038,318,321
0.759999990463257,-0.009510627016425133,-507.7323244214058,318,321
0.769999980926514,-0.008090290240943432,-408.3087023496628,318,321
0.779999971389771,-0.005878020077943802,-253.44979812204838,318,321
0.790000021457672,-0.0030903692822903395,-58.314648798434064,318,321
0.800000011920929,-2.1228719049304345e-07,157.96937346830964,318,321
0.810000002384186,0.0030899655539542437,346.85770240426064,318,321
0.819999992847443,0.005877676419913769,457.09005665779114,318,321
0.829999983310699,0.008090040646493435,517.6516847610474,318,321
0.839999973773956,0.009510496631264687,537.3475705385208,318,321
