strain,stress_MPa,elastic_strain,plastic_strain
0.0,0.0,0.0,0.0
1e-05,0.7310000000000001,1e-05,0.0
2e-05,1.4620000000000002,2e-05,0.0
3.0000000000000004e-05,2.1930000000000005,3.0000000000000008e-05,-3.3881317890172014e-21
4e-05,2.9240000000000004,4e-05,0.0
5e-05,3.6550000000000002,5e-05,0.0
6.000000000000001e-05,4.386000000000001,6.0000000000000015e-05,-6.776263578034403e-21
7.000000000000001e-05,5.117000000000001,7.000000000000001e-05,0.0
8e-05,5.848000000000001,8e-05,0.0
9e-05,6.579000000000001,9e-05,0.0
0.0001,7.3100000000000005,0.0001,0.0
0.00011,8.041,0.00011,0.0
0.00012000000000000002,8.772000000000002,0.00012000000000000003,-1.3552527156068805e-20
0.00013000000000000002,9.503,0.00013,2.710505431213761e-20
0.00014000000000000001,10.234000000000002,0.00014000000000000001,0.0
0.00015000000000000001,10.965,0.00015,2.710505431213761e-20
0.00016,11.696000000000002,0.00016,0.0
0.00017,12.427,0.00016999999999999999,2.710505431213761e-20
0.00018,13.158000000000001,0.00018,0.0
0.00019,13.889,0.00018999999999999998,2.710505431213761e-20
0.0002,14.620000000000001,0.0002,0.0
0.00021,15.350999999999999,0.00020999999999999998,2.710505431213761e-20
0.00022,16.082,0.00022,0.0
0.00023,16.813000000000002,0.00023000000000000003,-2.710505431213761e-20
0.00024000000000000003,17.544000000000004,0.00024000000000000006,-2.710505431213761e-20
0.00025,18.275,0.00025,0.0
0.00026000000000000003,19.006,0.00026,5.421010862427522e-20
0.00027,19.736999999999995,0.00026999999999999995,5.421010862427522e-20
0.00028000000000000003,20.468000000000004,0.00028000000000000003,0.0
0.00029,21.198999999999998,0.00028999999999999995,5.421010862427522e-20
0.00030000000000000003,21.93,0.0003,5.421010862427522e-20
0.00031,22.661,0.00031,0.0
0.00032,23.392000000000003,0.00032,0.0
0.00033000000000000005,24.123000000000005,0.00033000000000000005,0.0
0.00034,24.854,0.00033999999999999997,5.421010862427522e-20
0.00035000000000000005,25.585,0.00035,5.421010862427522e-20
0.00036,26.316000000000003,0.00036,0.0
0.00037000000000000005,27.047000000000004,0.00037000000000000005,0.0
0.00038,27.778,0.00037999999999999997,5.421010862427522e-20
0.00039000000000000005,28.509,0.00039,5.421010862427522e-20
0.0004,29.239999999999995,0.0003999999999999999,1.0842021724855044e-19
0.00041000000000000005,29.970999999999997,0.00040999999999999994,1.0842021724855044e-19
0.00042,30.70199999999999,0.00041999999999999985,1.6263032587282567e-19
0.00043000000000000004,31.432999999999993,0.0004299999999999999,1.6263032587282567e-19
0.00044,32.16399999999999,0.0004399999999999998,2.168404344971009e-19
0.00045000000000000004,32.89499999999998,0.00044999999999999977,2.710505431213761e-19
0.00046,33.625999999999976,0.0004599999999999997,3.2526065174565133e-19
0.00047000000000000004,34.35699999999997,0.0004699999999999996,4.336808689942018e-19
0.00048000000000000007,35.087999999999965,0.0004799999999999995,5.421010862427522e-19
0.0004900000000000001,35.818999999999946,0.0004899999999999992,8.673617379884035e-19
0.0005,36.54999999999991,0.0004999999999999988,1.1926223897340549e-18
0.00051,37.28099999999989,0.0005099999999999985,1.5178830414797062e-18
0.0005200000000000001,38.01199999999987,0.0005199999999999982,1.8431436932253575e-18
0.0005300000000000001,38.742999999999824,0.0005299999999999976,2.4936649967166602e-18
0.00054,39.47399999999976,0.0005399999999999968,3.2526065174565133e-18
0.00055,40.2049999999997,0.0005499999999999959,4.119968255444917e-18
0.0005600000000000001,40.93599999999961,0.0005599999999999946,5.421010862427522e-18
0.0005700000000000001,41.66699999999949,0.000569999999999993,7.047314121155779e-18
0.00058,42.39799999999934,0.000579999999999991,8.998878031629687e-18
0.00059,43.12899999999917,0.0005899999999999886,1.1384122811097797e-17
0.0006000000000000001,43.85999999999895,0.0005999999999999856,1.441988889405721e-17
0.0006100000000000001,44.59099999999866,0.0006099999999999817,1.8431436932253575e-17
0.00062,45.32199999999831,0.0006199999999999769,2.3093506273941244e-17
0.00063,46.05299999999788,0.000629999999999971,2.905661822261152e-17
0.00064,46.78399999999735,0.0006399999999999637,3.63207727782644e-17
0.0006500000000000001,47.51499999999669,0.0006499999999999548,4.5319650809894085e-17
0.0006600000000000001,48.24599999999589,0.0006599999999999437,5.637851296924623e-17
0.00067,48.97699999999489,0.0006699999999999301,6.993104012531504e-17
0.00068,49.70799999999369,0.0006799999999999136,8.64109131470947e-17
0.0006900000000000001,50.43899999999222,0.0006899999999998936,1.0646865333807654e-16
0.0007000000000000001,51.16999999999045,0.0006999999999998693,1.3075478200175183e-16
0.00071,51.90099999998829,0.0007099999999998398,1.6024508109335756e-16
0.00072,52.631999999985695,0.0007199999999998043,1.9569849213363355e-16
0.0007300000000000001,53.36299999998259,0.0007299999999997619,2.381992172950653e-16
0.0007400000000000001,54.09399999997886,0.0007399999999997108,2.892651396191326e-16
0.00075,54.82499999997438,0.0007499999999996495,3.505225623645636e-16
0.00076,55.555999999969046,0.0007599999999995766,4.2348936857283803e-16
0.0007700000000000001,56.2869999999627,0.0007699999999994897,5.103339625889269e-16
0.0007800000000000001,57.01799999995515,0.0007799999999993864,6.136584296267955e-16
